Name	yester_Volume	yester_Close	Date	Code	today_Volume	today_Close	Close	Volume
제미니투자	2222313	731	2019-01-07	019570	13766559	825	1.1285909712722297	6.194698496566415
기가레인	1351250	1610	2019-01-07	049080	3488323	1800	1.1180124223602483	2.5815526364477335
머큐리	4124628	12000	2019-01-07	100590	4363702	13400	1.1166666666666667	1.0579625605024259
디오스텍	1007571	1070	2019-01-07	196450	5218617	1180	1.102803738317757	5.1794037343274075
EDGC	1581963	5110	2019-01-07	245620	4869635	5620	1.0998043052837574	3.0782230684282754
나노	2541500	2110	2019-01-07	187790	5868944	2305	1.0924170616113744	2.3092441471571905
KD건설	3271013	103	2019-01-07	044180	38161275	112	1.087378640776699	11.66650056114115
제이콘텐트리	1193937	4740	2019-01-07	036420	5067767	5150	1.0864978902953586	4.244584932035777
제이에스티나	1259127	6940	2019-01-07	026040	2173822	7530	1.085014409221902	1.7264517399753956
신풍제약	1526914	6840	2019-01-07	019170	2745330	7410	1.0833333333333333	1.7979598065116962
